title,link,summary,date
"Херсонщина зазнала масованого удару, є загиблі",https://ua.korrespondent.net/ukraine/4761291-khersonschyna-zaznala-masovanoho-udaru-ye-zahybli,"Російські військові вкотре атакували Херсонщину за допомогою артилерії, зокрема реактивної, FPV-дронів, скидали вибухівку з БпЛА.Новини України- 5 березня 2025, 19:33",2025-03-05 19:33
Довбик потрапив до символічної збірної туру Серії А,https://ua.korrespondent.net/sport/football/4761287-dovbyk-potrapyv-do-symvolichnoi-zbirnoi-turu-serii-a,"Українець став єдиним гравцем Роми в 11-ці.Новини футболу- 5 березня 2025, 18:34",2025-03-05 18:34
Метро Києва закупить нові вагони з наскрізним проходом,https://ua.korrespondent.net/kyiv/4761285-metro-kyieva-zakupyt-novi-vahony-z-naskriznym-prokhodom,"Київський метрополітен нині експлуатує понад 830 вагонів, але в майже 100 з них завершиться термін служби.Київ новини- 5 березня 2025, 18:39",2025-03-05 18:39
Австралія внесла додаткові €6 млн на підтримку енергетики України,https://ua.korrespondent.net/ukraine/4761283-avstraliia-vnesla-dodatkovi-6-mln-na-pidtrymku-enerhetyky-ukrainy,"Австралія анонсувала додатковий внесок до Фонду підтримки енергетики України наприкінці 2024 року. Отже, загальний внесок Австралії до Фонду склав близько 18 млн євро.Новини України- 5 березня 2025, 19:09",2025-03-05 19:09
Євробачення-2025: Мальтійській співачці заборонили виконувати пісню,https://ua.korrespondent.net/showbiz/music/4761282-yevrobachennia-2025-maltiiskii-spivachtsi-zaboronyly-vykonuvaty-pisnui,"Представниця Мальти на Євробаченні-2025 Міріані Конте змушена змінити свою конкурсну композицію через мовний бар’єр.Музика- 5 березня 2025, 18:39",2025-03-05 18:39
"Ексгравець Челсі розповів, як одного разу Шевченко побився з одноклубником",https://ua.korrespondent.net/sport/football/4761275-ekshravets-chelsi-rozpoviv-yak-odnoho-razu-shevchenko-pobyvsia-z-odnoklubnykom,"Вейн Брідж пригадав сутичку між українцем та Талем Бен-Хаїмом.Новини футболу- 5 березня 2025, 17:59",2025-03-05 17:59
"Ознаки тортур мають 80% тіл, які повертає Росія",https://ua.korrespondent.net/ukraine/4761276-oznaky-tortur-mauit-80-til-yaki-povertaie-rosiia,"Заввідділом судмедекспертизи бюро СМЕ Інна Падєй зазначає, що мовиться про  застосування фізичної сили та застосування певних знарядь.Новини України- 5 березня 2025, 17:58",2025-03-05 17:58
Джессі Айзенберг отримав польське громадянство,https://ua.korrespondent.net/lifestyle/4761274-dzhessi-aizenberh-otrymav-polske-hromadianstvo,"Знаменитий голлівудський актор офіційно став громадянином Польщі. Він отримав документи з рук президента Анджея Дуди.Lifestyle&Fashion- 5 березня 2025, 18:14",2025-03-05 18:14
Китай вирішив збільшити витрати на оборону,https://ua.korrespondent.net/world/4761272-kytai-vyrishyv-zbilshyty-vytraty-na-oboronu,"Загальні витрати Китаю на оборону можуть бути на 40% вищими через статті, включені в інші бюджети, вважають експерти.Новини світу- 5 березня 2025, 18:06",2025-03-05 18:06
Румунія висилає російського військового аташе,https://ua.korrespondent.net/world/4761270-rumuniia-vysylaie-rosiiskoho-viiskovoho-atashe,"Румунська влада оголосила персонами нон грата військового аташе, аташе з авіації та аташе з морських справ РФ в Бухаресті, а також їхнього заступника, за проведення діяльності, що суперечить положенням Віденської конвенції.Новини світу- 5 березня 2025, 18:44",2025-03-05 18:44
"Аморім: МЮ має боротись за кожен трофей, але зараз працюємо на перспективу",https://ua.korrespondent.net/sport/football/4761267-amorim-mui-maie-borotys-za-kozhen-trofei-ale-zaraz-pratsuiiemo-na-perspektyvu,"Рубен призвал фанатов не сокрушаться в случае невыигрыша Лиги Европы.Новини футболу- 5 березня 2025, 17:31",2025-03-05 17:31
"РФ вдарила ракетами по Павлограду, пошкоджені два підприємства",https://ua.korrespondent.net/ukraine/4761062-rf-vdaryla-raketamy-po-pavlohradu-poshkodzheni-dva-pidpryiemstva,"Внаслідок удару на одному з підприємств сталася пожежа. Також пошкоджені вікна у двох п'ятиповерхівках. Люди не постраждали.Новини України- 5 березня 2025, 08:16",2025-03-05 08:16
Арсенал знищив ПСВ у Лізі чемпіонів - відео голів та огляд матчу,https://ua.korrespondent.net/sport/football/4761028-arsenal-znyschyv-psv-u-lizi-chempioniv-video-holiv-ta-ohliad-matchu,"До вашої уваги відео найкращих моментів поєдинку 1/8 фіналу єврокубкового турніру.Новини футболу- 5 березня 2025, 01:58",2025-03-05 01:58
Арсенал установив історичний рекорд у Лізі чемпіонів,https://ua.korrespondent.net/sport/football/4761025-arsenal-ustanovyv-istorychnyi-rekord-u-lizi-chempioniv,"Гостьовий погром ПСВ від ""канонірів"" став унікальним досягненням.Новини футболу- 5 березня 2025, 01:29",2025-03-05 01:29
"Названо причину, чому Антоні не хоче повертатися в Манчестер Юнайтед",https://ua.korrespondent.net/sport/football/4761021-nazvano-prychynu-chomu-antoni-ne-khoche-povertatysia-v-manchester-yunaited,"Бразилець швидко освоївся в іспанському Бетісі. Його оренда розрахована до кінця поточного сезону.Новини футболу- 5 березня 2025, 00:53",2025-03-05 00:53
Арсенал розтрощив у гостях ПСВ у першому матчі 1/8 фіналу Ліги чемпіонів,https://ua.korrespondent.net/sport/football/4761022-arsenal-roztroschyv-u-hostiakh-psv-u-pershomu-matchi-18-finalu-lihy-chempioniv,"""Каноніри"" зняли всі питання про майбутнього чвертьфіналіста, забивши супернику сім голів.Новини футболу- 5 березня 2025, 00:35",2025-03-05 00:35
У США федеральних службовців звільнятимуть за опір політиці Трампа,https://ua.korrespondent.net/world/4761054-u-ssha-federalnykh-sluzhbovtsiv-zvilniatymut-za-opir-politytsi-trampa,"Будь-який федеральний бюрократ, який чинитиме опір змінам, буде негайно усунутий з посади, сказав Трамп.Новини світу- 5 березня 2025, 07:23",2025-03-05 07:23
"Помер колишній футболіст Динамо, Дніпра і Металіста",https://ua.korrespondent.net/sport/football/4761014-pomer-kolyshnii-futbolist-dynamo-dnipra-i-metalista,"Сергій Малько був змушений завершити кар'єру через травму.Новини футболу- 5 березня 2025, 00:22",2025-03-05 00:22
Гравець збірної України відновив тренування після травми,https://ua.korrespondent.net/sport/football/4761011-hravets-zbirnoi-ukrainy-vidnovyv-trenuvannia-pislia-travmy,"Олександр Зубков взяв участь в останньому занятті Трабзонспора.Новини футболу- 5 березня 2025, 00:01",2025-03-05 00:01
"Трамп сказав, що отримав листа від Зеленського",https://ua.korrespondent.net/world/4761047-tramp-skazav-scho-otrymav-lysta-vid-zelenskoho,"Американський президент Дональд Трамп присвятив буквально 5 хвилин українській темі у Конгресі.Новини світу- 5 березня 2025, 06:19",2025-03-05 06:19
"Трамп анонсував ""історичне рішення"" щодо рідкісноземельних металів",https://ua.korrespondent.net/world/4761045-tramp-anonsuvav-istorychne-rishennia-schodo-ridkisnozemelnykh-metaliv,"Трамп пообіцяв упродовж тижня ""історичну заяву"" щодо збільшення видобутку копалин у Сполучених Штатах.Новини світу- 5 березня 2025, 06:00",2025-03-05 06:00
"Число американців, що просять громадянство Британії рекордно зросло",https://ua.korrespondent.net/world/4761043-chyslo-amerykantsiv-scho-prosiat-hromadianstvo-brytanii-rekordno-zroslo,"Американці мають багато індивідуальних причин для отримання британського паспорта. Проте серед усіх найбільше зіграла роль політична ситуація в США та податкові зміни.Новини світу- 5 березня 2025, 05:33",2025-03-05 05:33
Лукашенко покликав Трампа до Мінська,https://ua.korrespondent.net/world/4761039-lukashenko-poklykav-trampa-do-minska,"Самопроголошений президент РБ заявив, що не хотів би виконувати роль посередника в ""українському питанні"".Новини світу- 5 березня 2025, 04:35",2025-03-05 04:35
"Тимощука, Карякіна та Каладзе Мінспорту позбавило спортивних звань",https://ua.korrespondent.net/ukraine/4761037-tymoschuka-kariakina-ta-kaladze-minsportu-pozbavylo-sportyvnykh-zvan,"В Україні сім тренерів і тридцять сім спортсменів позбавили 54 спортивних звань у 2022-2023 роках.Новини України- 5 березня 2025, 04:06",2025-03-05 04:06
Масована атака дронів по Одещині: з'явилися фото наслідків,https://ua.korrespondent.net/city/odessa/4761033-masovana-ataka-droniv-po-odeschyni-ziavylysia-foto-naslidkiv,"Ввечері 4 березня російська армія знову масовано атакувала Одесу та Одеську область ударними БпЛА.Одеса- 5 березня 2025, 03:10",2025-03-05 03:10
Пілоти F-16 подякували американцям за підтримку,https://ua.korrespondent.net/ukraine/4761031-piloty-F-16-podiakuvaly-amerykantsiam-za-pidtrymku,"F-16 - ефективні проти крилатих ракет, яким Росія масовано атакує Україну, і можуть прицілитися в більше цілей, ніж здатні вразити.Новини України- 5 березня 2025, 02:41",2025-03-05 02:41
"Зеленський, Стармер і Макрон можуть здійснити візит до США",https://ua.korrespondent.net/ukraine/4761183-zelenskyi-starmer-i-makron-mozhut-zdiisnyty-vizyt-do-ssha,"Лідери трьох країн готові поїхати до Вашингтона вже наступного тижня, стверджують джерела.Новини України- 5 березня 2025, 14:08",2025-03-05 14:08
Прем'єр Гренландії щодо заяв Трампа: Ми не хочемо бути американцями,https://ua.korrespondent.net/world/4761182-premier-hrenlandii-schodo-zaiav-trampa-my-ne-khochemo-buty-amerykantsiamy,"Егеде наголосив, що Гренландія не продається і її ""не можна просто взяти"". За його словами, майбутнє Гренландії вирішують самі гренландці.Новини світу- 5 березня 2025, 14:05",2025-03-05 14:05
"Мінкульт озвучив число осіб, що не повернулися з-за кордону",https://ua.korrespondent.net/ukraine/4761180-minkult-ozvuchyv-chyslo-osib-scho-ne-povernulysia-z-za-kordonu,"Державна прикордонна служба надала офіційний лист, в якому зазначено, що 579 осіб не повернулися в Україну після виїзду.Новини України- 5 березня 2025, 13:59",2025-03-05 13:59
Довбик потрапив до символічної збірної чемпіонату Італії,https://ua.korrespondent.net/sport/football/4761178-dovbyk-potrapyv-do-symvolichnoi-zbirnoi-chempionatu-italii,"Українець забив переможний м'яч Роми у грі з Комо.Новини футболу- 5 березня 2025, 13:40",2025-03-05 13:40
Росіяни вдарили Молнією по центру Харкова,https://ua.korrespondent.net/city/kharkov/4761175-rosiiany-vdaryly-molniieui-po-tsentru-kharkova,"Молнія - невеликий БпЛА, який має дуже просту конструкцію та з дешевих матеріалів. Ним неможливо суттєво пошкодити будівлю, зруйнувати військовий об'єкт, водночас критичних поранень зазнають лише цивільні.Харків- 5 березня 2025, 13:37",2025-03-05 13:37
Військовим РФ оголосили підозру за зґвалтування на Донеччині,https://ua.korrespondent.net/ukraine/4761172-viiskovym-rf-oholosyly-pidozru-za-zgvaltuvannia-na-donechchyni,"Озброєні нападники змусили жінку піти з ними до сусіднього домоволодіння. Проникнувши до порожньої оселі, вони, аби побороти опір потерпілої, вкололи їй невідому речовину.Новини України- 5 березня 2025, 13:29",2025-03-05 13:29
Поширюється фейк про Starlink після візиту Зеленського до США - ЦПД,https://ua.korrespondent.net/ukraine/4761170-poshyruiietsia-feik-pro-Starlink-pislia-vizytu-zelenskoho-do-ssha-tspd,"Ворожі TG-канали поширюють фейкову статтю CNN про нібито регулярні перебої у роботі Starlink на фронті після візиту Президента України Володимира Зеленського до США.Новини України- 5 березня 2025, 13:24",2025-03-05 13:24
На Харківщині скасували сотні фейкових довідок МСЕК,https://ua.korrespondent.net/ukraine/4761169-na-kharkivschyni-skasuvaly-sotni-feikovykh-dovidok-msek,"Зупинено виплату незаконно призначених пенсій. Вдалося запобігти щомісячним державним збиткам у розмірі понад 2,4 млн гривень.Новини України- 5 березня 2025, 13:20",2025-03-05 13:20
